time,value
0,0.0914618
0.010101,0.163813
0.020202,0.239013
0.030303,0.319484
0.040404,0.406778
0.0505051,0.501068
0.0606061,0.600692
0.0707071,0.702097
0.0808081,0.800268
0.0909091,0.889408
0.10101,0.963689
0.111111,1.01803
0.121212,1.04886
0.131313,1.05455
0.141414,1.03556
0.151515,0.99408
0.161616,0.933401
0.171717,0.857191
0.181818,0.768982
0.191919,0.671936
0.20202,0.56878
0.212121,0.461757
0.222222,0.352599
0.232323,0.242554
0.242424,0.13243
0.252525,0.0225548
0.262626,-0.0872226
0.272727,-0.197313
0.282828,-0.307955
0.292929,-0.418721
0.30303,-0.52813
0.313131,-0.633511
0.323232,-0.731291
0.333333,-0.817649
0.343434,-0.889151
0.353535,-0.943022
0.363636,-0.977116
0.373737,-0.989969
0.383838,-0.981056
0.393939,-0.951006
0.40404,-0.901477
0.414141,-0.834773
0.424242,-0.753514
0.434343,-0.660561
0.444444,-0.559031
0.454545,-0.452196
0.464646,-0.343175
0.474747,-0.23454
0.484848,-0.127984
0.494949,-0.0241695
0.505051,0.0771997
0.515152,0.177101
0.525253,0.27672
0.535354,0.376844
0.545455,0.477321
0.555556,0.576812
0.565657,0.672939
0.575758,0.762725
0.585859,0.84314
0.59596,0.911451
0.606061,0.965226
0.616162,1.0021
0.626263,1.01966
0.636364,1.01572
0.646465,0.988889
0.656566,0.939193
0.666667,0.86835
0.676768,0.779594
0.686869,0.677204
0.69697,0.565895
0.707071,0.450144
0.717172,0.333439
0.727273,0.217697
0.737374,0.10319
0.747475,-0.0109196
0.757576,-0.125716
0.767677,-0.241745
0.777778,-0.358545
0.787879,-0.474495
0.79798,-0.586872
0.808081,-0.69212
0.818182,-0.786333
0.828283,-0.865915
0.838384,-0.928249
0.848485,-0.972212
0.858586,-0.998372
0.868687,-1.00879
0.878788,-1.00647
0.888889,-0.994603
0.89899,-0.975801
0.909091,-0.951392
0.919192,-0.921098
0.929293,-0.883166
0.939394,-0.834942
0.949495,-0.773744
0.959596,-0.697802
0.969697,-0.607008
0.979798,-0.5032
0.989899,-0.389884
1,-0.271604
