time,value
0,0.0743781
0.010101,0.179903
0.020202,0.283798
0.030303,0.384543
0.040404,0.480645
0.0505051,0.570651
0.0606061,0.653147
0.0707071,0.726781
0.0808081,0.790285
0.0909091,0.84251
0.10101,0.882462
0.111111,0.909334
0.121212,0.922538
0.131313,0.92173
0.141414,0.906825
0.151515,0.877995
0.161616,0.835662
0.171717,0.780482
0.181818,0.713326
0.191919,0.635261
0.20202,0.547529
0.212121,0.451524
0.222222,0.348769
0.232323,0.240889
0.242424,0.129589
0.252525,0.0166233
0.262626,-0.0962289
0.272727,-0.207187
0.282828,-0.314488
0.292929,-0.416411
0.30303,-0.511295
0.313131,-0.597565
0.323232,-0.673765
0.333333,-0.738595
0.343434,-0.790942
0.353535,-0.829908
0.363636,-0.854827
0.373737,-0.865282
0.383838,-0.861111
0.393939,-0.842417
0.40404,-0.809565
0.414141,-0.76316
0.424242,-0.704036
0.434343,-0.633231
0.444444,-0.55197
0.454545,-0.461636
0.464646,-0.36374
0.474747,-0.259892
0.484848,-0.151769
0.494949,-0.0410855
0.505051,0.0704251
0.515152,0.181033
0.525253,0.289024
0.535354,0.392717
0.545455,0.490473
0.555556,0.580717
0.565657,0.661962
0.575758,0.73284
0.585859,0.792132
0.59596,0.838798
0.606061,0.871995
0.616162,0.891096
0.626263,0.895702
0.636364,0.885654
0.646465,0.861054
0.656566,0.822266
0.666667,0.76992
0.676768,0.704893
0.686869,0.628287
0.69697,0.5414
0.707071,0.445684
0.717172,0.342712
0.727273,0.234136
0.737374,0.12166
0.747475,0.00701346
0.757576,-0.10806
0.767677,-0.221823
0.777778,-0.332562
0.787879,-0.438615
0.79798,-0.538392
0.808081,-0.630408
0.818182,-0.713311
0.828283,-0.785909
0.838384,-0.8472
0.848485,-0.89639
0.858586,-0.932907
0.868687,-0.956406
0.878788,-0.966758
0.888889,-0.964045
0.89899,-0.948539
0.909091,-0.92069
0.919192,-0.881116
0.929293,-0.830591
0.939394,-0.770048
0.949495,-0.700577
0.959596,-0.623427
0.969697,-0.539997
0.979798,-0.451818
0.989899,-0.360529
1,-0.267836
