time,value
0,0.0914151
0.010101,0.160105
0.020202,0.218738
0.030303,0.266238
0.040404,0.316699
0.0505051,0.391394
0.0606061,0.500919
0.0707071,0.638577
0.0808081,0.789056
0.0909091,0.935867
0.10101,1.06049
0.111111,1.14269
0.121212,1.16755
0.131313,1.1336
0.141414,1.05568
0.151515,0.959659
0.161616,0.869628
0.171717,0.795194
0.181818,0.729492
0.191919,0.65866
0.20202,0.57247
0.212121,0.467079
0.222222,0.343607
0.232323,0.2103
0.242424,0.0838158
0.252525,-0.0192442
0.262626,-0.0950787
0.272727,-0.156711
0.282828,-0.227038
0.292929,-0.327089
0.30303,-0.46308
0.313131,-0.617919
0.323232,-0.758868
0.333333,-0.861386
0.343434,-0.926474
0.353535,-0.97148
0.363636,-1.00544
0.373737,-1.01901
0.383838,-0.999718
0.393939,-0.951109
0.40404,-0.891054
0.414141,-0.832418
0.424242,-0.770286
0.434343,-0.688959
0.444444,-0.578157
0.454545,-0.44195
0.464646,-0.296035
0.474747,-0.159253
0.484848,-0.0461689
0.494949,0.0366518
0.505051,0.0924564
0.515152,0.135915
0.525253,0.190893
0.535354,0.279846
0.545455,0.409614
0.555556,0.564524
0.565657,0.712
0.575758,0.819118
0.585859,0.872869
0.59596,0.889793
0.606061,0.904641
0.616162,0.944606
0.626263,1.0089
0.636364,1.06984
0.646465,1.09282
0.656566,1.0571
0.666667,0.962441
0.676768,0.821348
0.686869,0.650196
0.69697,0.469958
0.707071,0.308694
0.717172,0.191709
0.727273,0.124061
0.737374,0.0849436
0.747475,0.0419253
0.757576,-0.028089
0.767677,-0.129508
0.777778,-0.254729
0.787879,-0.395376
0.79798,-0.546048
0.808081,-0.700461
0.818182,-0.847339
0.828283,-0.970777
0.838384,-1.05485
0.848485,-1.08968
0.858586,-1.07551
0.868687,-1.02262
0.878788,-0.948526
0.888889,-0.875153
0.89899,-0.824343
0.909091,-0.810193
0.919192,-0.832009
0.929293,-0.872941
0.939394,-0.904862
0.949495,-0.897791
0.959596,-0.832847
0.969697,-0.713487
0.979798,-0.564307
0.989899,-0.413422
1,-0.271644
